Names	total	elements
		sll
		Ptpa
		CG3513
		CG5455
		Ugt37b1
		CG12206
		CG8306
		pirk
		Ctr1A
		Rcd6
		CG4302
		CG13594
		CG4825
		sro
		mtsh
		Debcl
		CG32240
		Idgf1
		CG10671
		ppk30
		ATPsynC
		twr
		Lim1
		Tsp26A
		CG3829
		CG33278
		CG2658
		CG7781
		Rab21
		CG1537
		CG4766
		CG12643
		CG3788
		CG30394
		Tsp42El
		CG10570
		Roc1b
		tsr
		Smyd4-3
		CG4960
		CG13741
		pdgy
		CG6602
		CG7544
		CG11906
		drk
		ND-20
		CG3603
		Jon65Aii
		ND-B17.2
		ATPsynF
		CG15237
		P5CDh1
		hig
		RFeSP
		Tace
		CG1315
		CG3618
		mge
		CG10970
		CG11912
		Osi20
		conv
		CG1236
		Rab1
		7B2
		ND-24
		Cyp309a2
		sNPF
		CG5872
		Gel
		sqh
		CG10576
		Npc2c
		128up
		TyrRS-m
		CG14937
		Nhe1
		CG1983
		CG3420
		LKRSDH
		Hsc70-5
		stas
		CG32686
		ERp60
		CG8673
		stnB
		Catsup
		shams
		elm
		CG6484
		Ef1alpha100E
		CG3267
		CG8398
		caix
		AdSL
		CG10814
		Sk1
		Sirt4
		Kap-alpha1
		Cyp9c1
		Bka
		CG8485
		Glt
		CG3277
		CG12209
		CG9686
		CG9065
		CG13962
		Tom7
		arx
		CG5116
		Eogt
		Rcd7
		CG16799
		CG8837
		CG15708
		CG14291
		sPLA2
		CG13330
		mRpL24
		Syngr
		Cisd2
		CG7420
		Sardh
		alphaTub84D
		NetB
		Nacalpha
		CG14591
		CG13887
		CG2736
		NimC3
		CG34253
		EcR
		CG3588
		St1
		CG42822
		Lsp1gamma
		fusl
		Ac3
		CG13707
		CG10527
		bic
		eys
		l(2)37Cc
		ptc
		CG7896
		CG9643
		sinu
		CG9107
		CG5987
		ND-B14.5B
		ox
		NT5E-2
		CG3589
		Atg9
		mTerf3
		Ppt2
		bdg
		Dot
		alpha-Est6
		Vps24
		CG30083
		awd
		CG14270
		CG1074
		CG6357
		Rsf1
		Cht6
		CG8230
		Elp3
		CG6220
		CG8613
		CG14977
		CG8079
		ATPsynG
		CG10051
		Pmi
		COX5BL
		Cpr51A
		mRpL49
		CG14017
		CG14450
		PNPase
		Ance
		CG15096
		CG43338
		CG15728
		spidey
		Gbp2
		CG2816
		CG10866
		mRpS18B
		prel
		CG3704
		wtrw
		Inx3
		CG30157
		CG7110
		Vps37B
		MME1
		CG15375
		CG16713
		GstE13
		eIF2B-alpha
		CG9691
		CG1468
		CG7943
		CG10467
		CG8300
		CG15309
		Lerp
		Syb
		Grasp65
		CG4836
		bwa
		nompC
		CG7834
		grass
		CG12173
		CG5966
		Sucb
		Aven
		CaBP1
		CG4078
		nAChRbeta1
		Pdk
		CG30196
		crq
		Sp1
		CG8520
		vig2
		CG30148
		phyl
		Pxn
		CG5390
		mRpL51
		metro
		CG6812
		CG32278
		CG9911
		p-cup
		CG34269
		PhKgamma
		krz
		CG15027
		Etf-QO
		Galt
		CG1275
		CG33704
		CG7506
		Cpr49Ab
		yellow-d2
		Dlip1
		CG12341
		MFS14
		Hr78
		CG42823
		CG15152
		CG31075
		hoip
		CNMa
		CG4660
		Arpc1
		CG30269
		CG14881
		NimB3
		l(2)k09848
		Sid
		CG8839
		CG32228
		CG10962
		spab
		RIOK2
		CG34217
		CG9782
		mRpS2
		Tsp42Ef
		Nha1
		UQCR-14
		CG1572
		CG33199
		Cpr65Ec
		bbc
		CG3609
		ND-B16.6
		Peritrophin-15a
		CG43112
		Mur89F
		fat-spondin
		Ttd14
		CG2846
		CG13532
		fz2
		Lapsyn
		CG14253
		CG4995
		GCS1
		Rpi
		zetaTry
		CG5861
		CG18335
		CG15254
		CngA
		Ssk
		lft
		CG1662
		CG11151
		CG33120
		Sply
		Gdi
		mthl9
		CG11594
		CG5731
		CG18766
		CG13893
		Dark
		mtSSB
		mRpS22
		levy
		Membrin
		mRpL48
		cathD
		CG1544
		CG10332
		CG15155
		CG15784
		CG5973
		CG8768
		CG31778
		CG12099
		mRpL13
		CG11550
		CG4872
		CG12895
		CG4593
		Sap-r
		Arr1
		His3:CG31613
		Gp150
		CG10916
		CG4495
		ND-15
		Idgf3
		Ggamma30A
		Flo1
		alpha-Est7
		l(2)37Cd
		CG12746
		CG7133
		CG8498
		CG10226
		CG33514
		CG6903
		ND-B14.7
		ND-51
		COX4
		CG14407
		CG12772
		CG7637
		IP3K1
		CG2100
		CG9084
		CG13516
		COX7C
		mRpS29
		roh
		CG10311
		mRpL27
		mRpL4
		Lrpprc2
		qsm
		CG18746
		CG42792
		Opa1
		Cyp12d1-d
		Cat
		CG12020
		CG17803
		CG32573
		tup
		p130CAS
		Start1
		fw
		CG1636
		CG3224
		Ipod
		SdhB
		CG15118
		CG12163
		CG33217
		CG34457
		CG30431
		Psn
		Ns2
		CG6142
		gammaTub23C
		Jafrac1
		grh
		CG8245
		CG11474
		miple1
		SdhA
		CG10131
		CG11752
		CG10470
		Atg8b
		cpb
		pn
		DNaseII
		CG13369
		CG5862
		CG15630
		CG9360
		CG17278
		ssp7
		CG12926
		CG15531
		CG14892
		mRpL22
		Prx3
		ND-B15
		CG11854
		CG8778
		Npl4
		nes
		ND-PDSW
		sesB
		CG32392
		CG13403
		Ror
		CG16787
		CG13751
		l(3)02640
		CG8419
		Zip48C
		CG3292
		JYalpha
		CG31789
		GNBP1
		CG11882
		CG7220
		CG11841
		CG9919
		CG13796
		otp
		sob
		yellow-b
		CG9515
		CG10924
		CG14300
		CG12012
		CG30491
		CG31093
		yip2
		CG15333
		CG4306
		CG4676
		Ostgamma
		CG14298
		CG2145
		Pcd
		mRpL50
		cona
		gol
		mRpL41
		CG3021
		CG15706
		CG1139
		scb
		CG8675
		ND-B14.5A
		Ddr
		Rac1
		CG6565
		CG10195
		CG15356
		CG5112
		CG4781
		CG33671
		CG2059
		CG17180
		Snx1
		CG9205
		Sidpn
		CG16704
		CG14661
		Cap-D3
		otk2
		CG3337
		KCNQ
		CG3702
		fne
		CG12848
		Tsp2A
		Fbl6
		CG5168
		Spn27A
		CG9485
		CG10933
		CG15611
		CG16716
		egr
		CG11619
		CG6836
		Mlc-c
		CG11035
		Cpr30B
		CG12909
		CG15556
		Jwa
		sicily
		CG13390
		Xrp1
		Kaz1-ORFB
		fkh
		Tif-IA
		CG4988
		FeCH
		GMF
		Cam
		Dhc62B
		alpha4GT1
		CG12963
		CG4409
		CG1882
		CG16926
		Zip99C
		CG7639
		CG14767
		Skp2
		Proc-R
		CG33124
		Dbi
		beta'COP
		Pngl
		CG8850
		hui
		DhpD
		Tom20
		CG4020
		rpr
		GstE6
		wb
		Phm
		CG17841
		Cpr78E
		CG11825
		CG30008
		Cyt-c-p
		CG5246
		CG13252
		CG18636
		CG30456
		antdh
		G6P
		CG11655
		CG42233
		CG12038
		CG2292
		Ppcdc
		CG18507
		unc-5
		bou
		CG4377
		CG33346
		Spase12
		mTTF
		wal
		CG7523
		Fdx2
		Hph
		Prosbeta2R2
		CG34386
		CG11158
		CG13551
		geko
		Fbw5
		CG18155
		CG2543
		CG42269
		CG15390
		CG14274
		cpa
		CG12081
		CG4650
		Rab32
		ade5
		Cyp1
		RpL30
		CG14647
		CG4743
		CG12826
		Est-P
		CG5694
		Atg8a
		CG18135
		mRpL43
		blw
		Mppe
		Apf
		CG32221
		SCOT
		Cyp28d1
		CG5958
		Vps13
		CG13759
		Taldo
		CG9865
		kune
		Gclc
		CG13192
		eIF-2alpha
		CG14434
		kraken
		nrv1
		Efr
		CG7601
		Tsp42Er
		Cyp310a1
		rn
		imd
		CG14806
		CG32276
		Hexo2
		CG15673
		CG18012
		CG30499
		CG4630
		CG5131
		CG3939
		AP-2sigma
		CG31287
		RpL7
		CYLD
		CG1690
		Gli
		CG7702
		eIF-4a
		dsb
		CG6441
		Lac
		CG13298
		gbb
		Cbp53E
		PKD
		tn
		CG32280
		Cdlc2
		tutl
		CG42557
		CG30091
		CG15908
		porin
		CG11147
		RpS13
		CG12344
		CG15221
		DptA
		CG10479
		chic
		ND-B17
		CG10340
		CG12177
		EndoGI
		RhoGAP100F
		CG30440
		mRpS33
		CG1648
		CG33056
		CG18367
		CG2909
		Gbeta5
		ZnT41F
		Rho1
		Sara
		CG3880
		CG6041
		CG2680
		Os-C
		CG2818
		mRpS18C
		CG3376
		CG32259
		CG14321
		CG32649
		CG8539
		CG34116
		CG16753
		ppl
		Spn77Ba
		CG7329
		melt
		CG3964
		CG8093
		CG9921
		erm
		CG5149
		mri
		CIA30
		CG6271
		CG10912
		l(2)tid
		CG16758
		CG4679
		Rab5
		CG1124
		CG10103
		bigmax
		CG6845
		CG15881
		CG8366
		Tsp3A
		CG7741
		ALiX
		CG17572
		CG10405
		P32
		Spn42Dd
		CG30428
		CG30015
		inaC
		CG17549
		disco-r
		CG7131
		frj
		tw
		CG13972
		CG17855
		cv-2
		CG16984
		Tango14
Current Stage	13	CG2113
		CG9850
		CG5084
		CG15905
		swi2
		CG32241
		Hsp60C
		grk
		sna
		CG15233
		CG30090
		TwdlX
		CG9314
Previous Stage	11	CG3062
		CG12236
		CG14488
		hale
		CG9173
		CG15564
		CG31644
		Kr
		Tsp42Ep
		CG17140
		CG16771
Current Species	7	CG4835
		mei-217
		CG32461
		CG30033
		CG30065
		Twdlalpha
		Nuf2
Previous Species	3	CG4045
		Ir7g
		CG10761
Current Previous	1	CG34433
Stage	2097	CG11880
		CG9147
		CG13870
		Mks1
		CG6429
		CG1924
		CG2201
		CG1421
		CG14502
		CG10862
		Cyp12c1
		CG9062
		U3-55K
		RfC3
		Lcp65Ad
		Eip55E
		Mcm3
		mRpS11
		CG11211
		CG11617
		Tim17b2
		CG13299
		Fer3HCH
		mfrn
		CG42597
		CG10477
		bonsai
		GstE4
		polo
		Gnf1
		Top3alpha
		bsf
		CG7094
		CG2528
		CG1607
		CG5903
		schuy
		CG15674
		CG8519
		CG12983
		CG31099
		Calx
		Nup37
		CycB
		CG10359
		CG15548
		CG8840
		CG13168
		CG4281
		CG8617
		CG33966
		CG10802
		Gbeta76C
		CG3592
		CG34193
		CG17328
		Ts
		rtp
		polyph
		CG33934
		Hex-t1
		CG6614
		SoxN
		Prp38
		Arp53D
		PIP82
		yellow-g2
		Sin1
		CG16800
		CheA7a
		CG31050
		fest
		CG8771
		CG5646
		dao
		CG4386
		Pxd
		Faa
		U26
		CG18606
		Cpr62Bb
		sut3
		CG4908
		Ran
		CG15332
		Fur2
		CG2187
		CG10822
		CG34015
		Dscam3
		CG34040
		beat-Ia
		CG43052
		Spn42Db
		CG14411
		CG13989
		CG7849
		RluA-1
		CG7718
		CR43100
		Est-6
		CG15764
		CG1698
		Mst33A
		armi
		CG12861
		Pk34A
		CG12069
		bgm
		srl
		CG4768
		CG9483
		e
		CG13722
		chinmo
		CG34202
		Stam
		POSH
		CG17944
		Nna1
		CG17475
		fs(1)Ya
		bchs
		CG30324
		CG11007
		CG17601
		CG34337
		wcd
		CG8918
		CG4951
		CG13096
		CG14731
		GalNAc-T1
		achi
		Cyp6w1
		CG14309
		CG4594
		CG4631
		CG15403
		Nsun2
		CG13081
		Rpn11
		CG12493
		Vha68-3
		CG1785
		Ahcy
		CG3492
		CG9896
		CG32812
		LanB1
		Gs1
		CG12975
		CG11381
		CG15651
		CG18735
		CG14314
		CG14838
		pigeon
		CG44002
		E(spl)mgamma-HLH
		dany
		CG14070
		CG11345
		CG1979
		Papss
		lobo
		CG32568
		CG13992
		CG10104
		gom
		sug
		CG30393
		CG15605
		BTBD9
		CG31698
		Reg-5
		SmydA-5
		CG34162
		Gint3
		CG30048
		nxf4
		CG14103
		Task7
		Neurochondrin
		l(2)k05911
		nerfin-1
		CG1218
		CG42813
		CG30069
		CG17834
		CG13245
		CG30432
		RpL11
		Rabex-5
		CG10505
		prage
		Spn47C
		CG2837
		CG31677
		CG12857
		CG12164
		CG7907
		TM4SF
		dos
		B-H2
		crm
		XRCC1
		pot
		CG9550
		CG43138
		CG8326
		CG14275
		CG10869
		CG15580
		CG32645
		CG12917
		CG11816
		CG11563
		Tsp66A
		Tig
		CG14930
		CG31949
		CG31820
		CG15252
		cysu
		CG13114
		CG13148
		CG7202
		Spn55B
		CG4036
		CG32409
		Ssdp
		insb
		CG30273
		CG5828
		CG8545
		CG3394
		CG17048
		CG31274
		CG14257
		CG7246
		CG3663
		CG4949
		CG3502
		Prosbeta3
		Patronin
		CG30183
		CG10959
		Acp76A
		rib
		noc
		CG1428
		CG5432
		mRpS17
		QC
		CG13747
		krimp
		Ir7c
		CG14609
		dve
		CG13127
		Acer
		VhaM9.7-d
		Ssb-c31a
		CG14891
		CG15296
		NaCP60E
		hiw
		CG1550
		Cyp4c3
		CG12374
		Ser12
		CG17386
		CG18404
		tai
		eater
		CG3215
		CG9822
		CG7879
		Fas1
		CG33308
		tbrd-2
		CG31549
		CG12729
		CG7587
		CG44435
		CG7461
		CG12934
		AstC-R2
		CG12693
		CG12105
		CG15549
		ATPsynGL
		CG13564
		mtDNA-helicase
		CG32655
		CG11294
		Nup62
		CG12860
		CG8841
		CG12288
		CG14645
		trp
		CG34282
		Cyp6a14
		CG5107
		Claspin
		CG2124
		CG3570
		CG4712
		LRP1
		CG12783
		CG2681
		CG15168
		CG7384
		CG11068
		CG17683
		CG5001
		CG17237
		CG9010
		tj
		CG34175
		Eno
		CG17568
		CG31088
		CG11851
		CG13898
		CG1889
		CG32487
		Galphaq
		CG14668
		CG43320
		CG15719
		hbn
		Spn100A
		beta4GalT7
		Pal1
		CG14826
		Cpr76Bd
		Adgf-E
		Orcokinin
		CG9452
		CG5599
		CG31851
		CG13164
		CG7290
		CG13581
		CG5062
		sut4
		squ
		CG2964
		CG12880
		CG13113
		CG14929
		Mys45A
		CG15561
		RabX5
		CG13749
		Ca-alpha1D
		CG8611
		CG30472
		ovm
		Six4
		lambdaTry
		MsR2
		CG43066
		lic
		CG14512
		CG18598
		CG6073
		alphaKap4
		CG6550
		su(r)
		CG1632
		CG14958
		IntS4
		cal1
		MESR6
		ast
		tilB
		CG9008
		Tsp42A
		eIF4E-4
		Rcc1
		ms(3)76Ba
		ogre
		CG13326
		CG8654
		RacGAP84C
		CG15185
		CG32625
		CG4629
		Npc2g
		Pka-C2
		S-Lap5
		CG31013
		CG14247
		CG16772
		ItgaPS5
		CG17196
		stc
		CG9133
		Rbpn-5
		Nufip
		Mct1
		Csl4
		CG12438
		CG14926
		glu
		csw
		CG12498
		Socs36E
		Femcoat
		CG12590
		Tl
		S-Lap4
		CG30285
		CG10341
		Osi2
		CG4017
		CG6380
		tyn
		CG4991
		Oaz
		CG33054
		CG9130
		CG15625
		Nprl2
		Vml
		CG7785
		CG10950
		CG43190
		CG10495
		CG2875
		Nup107
		Cad96Ca
		Sdc
		CG18304
		RluA-2
		ProtB
		CG5028
		CG18659
		CG15925
		nopo
		l(2)34Fd
		lov
		CG31802
		Ork1
		CG3687
		CG11342
		RpS28-like
		CG7716
		CG7251
		CG10286
		CG15186
		CG42393
		CG4891
		Sox100B
		scramb2
		CG43325
		Muc12Ea
		CG5757
		CG31189
		CG15498
		AnxB11
		TwdlP
		CG14629
		CG12426
		CG31875
		CG42559
		CG11180
		CG11241
		CG7164
		E(spl)mdelta-HLH
		Karybeta3
		lok
		CG14957
		CG11453
		nod
		CG33506
		CkIIbeta2
		GlnRS
		obst-J
		CG4438
		Myt1
		CG14330
		APC7
		Ir52a
		spi
		Dg
		Tps1
		CG31784
		spag4
		CG9521
		DNA-ligI
		CG3355
		CG17163
		Wdr24
		CG14644
		spaw
		CG13126
		sc
		CG11843
		luna
		E(spl)m2-BFM
		CG4009
		CG31111
		CG12607
		ftz-f1
		slp1
		Reg-2
		HLH3B
		ATPsynCF6L
		Nxt1
		RfC38
		CG32718
		CG9780
		CG15212
		Dll
		CG8349
		CG13244
		CstF-64
		Orc6
		fd59A
		Antp
		CG6841
		CG31029
		fln
		Epg5
		CG13344
		muskelin
		inaF-D
		yem
		CG1791
		Vha16-4
		Mmp2
		Orco
		CG30334
		uri
		CG12347
		vnd
		Fem-1
		CG32459
		CG13077
		CG30058
		CG2104
		CG6568
		CG31636
		wek
		Drsl6
		CG11836
		Imp
		CG12134
		hydra
		NimB4
		Gyc76C
		CG8950
		CG12692
		CG5561
		ft
		a5
		Gasz
		CG8993
		CG30177
		CG18469
		CG15312
		CG11409
		CG32986
		Br140
		Pms2
		AlaRS
		DNApol-epsilon58
		CG6933
		CG42809
		CG13872
		RnrS
		E(spl)malpha-BFM
		capu
		CG30412
		G9a
		fal
		LanA
		CG2750
		Rbf
		CG34298
		CG11865
		robl22E
		CG17801
		CR43176
		kappaB-Ras
		CG15471
		COQ7
		Mdh2
		Pi4KIIalpha
		E(spl)m8-HLH
		Psf3
		Cpr97Eb
		CG11060
		Yp1
		rho-4
		thw
		CG2127
		CG31010
		TBC1D5
		CG18371
		CG14971
		Hexo1
		CG14354
		Spn31A
		Hr96
		CG42835
		CG32396
		CG4554
		c(2)M
		CG5955
		CG9117
		CG11596
		CG11815
		CG4701
		CG16986
		Cht4
		CG12325
		CG3735
		SERCA
		psd
		CG7514
		CG4553
		CG4038
		CG12782
		Dcr-2
		Rbm13
		CG14187
		TppII
		isopeptidase-T-3
		CG5043
		shu
		CG11190
		CG18095
		Prosalpha6T
		loopin-1
		CG15661
		vito
		CG11796
		ZnT35C
		Thor
		CG9723
		cort
		Grip91
		CG31776
		ValRS
		bcn92
		CG31661
		CG3347
		CG15036
		CG33998
		Tektin-A
		CG9090
		CG12866
		CG2321
		CG9447
		CG9149
		Adck
		CG16825
		CG31933
		CG6508
		CG30099
		tfc
		CG31735
		CG17134
		CG10011
		CG30270
		DNApol-alpha73
		Cnb
		CG16894
		CG13698
		CG10903
		CG13243
		GluRIIC
		CG16854
		PMP34
		CG4480
		yuri
		CG11168
		CG15258
		uif
		CG6978
		CG34041
		mRpL44
		Acox57D-p
		CG14339
		MFS3
		CG4882
		CG14455
		Acam
		CG32727
		CG6304
		IntS11
		CG15425
		CG32425
		CG5756
		CG14277
		Usp20-33
		CG18557
		Nplp1
		CG10734
		Tmhs
		Cpr12A
		T48
		CG11284
		CG2209
		Cyp311a1
		apt
		CG14292
		CG14071
		CG42540
		CG16985
		xmas-2
		CG14764
		CG3770
		mahe
		CG30222
		CG10920
		CG13133
		CG17030
		CG13436
		Prosbeta1
		CG30275
		CG5323
		CG33710
		CG16837
		CG31609
		CG32643
		Hex-t2
		CG34181
		CG15919
		CG10927
		CG13891
		CG9389
		CG10075
		CG1890
		Samuel
		CG8834
		edl
		CG11030
		Chrac-14
		CG11413
		hmw
		spoon
		Cyt-c-d
		CG7789
		reb
		CG13538
		CG17098
		CG14316
		jef
		CG6059
		Ntl
		CG10098
		CG17707
		Ent2
		RpL22-like
		CG11391
		CG1622
		CG8067
		Acyp
		CG31028
		Hasp
		CG12684
		CG13227
		mRpL30
		CG30156
		CG13557
		LysRS
		mbm
		Smyd4-4
		Atx-1
		wa-cup
		CG30423
		CG33252
		Gyc32E
		CG33203
		Fcp3C
		CG34161
		CG9698
		CG5866
		SCCRO4
		Vm26Ac
		HipHop
		Sws1
		CDC45L
		CG3650
		whip
		CG32320
		CG17287
		CG34056
		CG3092
		rpk
		Rrp45
		Ctf4
		Orc1
		CG13544
		CG10494
		CG13654
		CG32720
		CG9747
		LeuRS-m
		CG15877
		dac
		CG10462
		CG3630
		cdm
		l(2)not
		Zpr1
		tyf
		Usp8
		CG3714
		CG4497
		CG5790
		Uvrag
		CG1387
		Non3
		unc80
		Nop60B
		CG7024
		kz
		pgc
		REG
		hid
		CG7017
		Nup154
		CG17906
		CG9101
		CG1513
		CG5928
		Scr
		Mlh1
		CG18538
		CG1999
		CG15578
		Cp7Fc
		CG7137
		CG3961
		Prosbeta4R1
		CG9300
		Fic
		CG4975
		inaF-C
		Cfp1
